红色 - hóngsè;Red
摩托车 - mótuōchē;Motorcycle
船 - chuán;Boat
出租车 - chūzūchē;Taxi
卡车 - kǎchē;Truck
直升机 - zhíshēngjī;Helicopter
地铁 - dìtiě;Subway
电动车 - diàndòngchē;Electric Vehicle
三轮车 - sānlúnchē;Tricycle
轮船 - lúnchuán;Ship
滑板车 - huábǎnchē;Scooter
头发 - tóufǎ;Hair
眼睛 - yǎnjīng;Eyes
耳朵 - ěrduo;Ears
鼻子 - bízi;Nose
嘴巴 - zuǐbā;Mouth
脸 - liǎn;Face
脖子 - bózi;Neck
肩膀 - jiānbǎng;Shoulder
手臂 - shǒubì;Arm
手 - shǒu;Hand
胸部 - xiōngbù;Chest
背部 - bèibù;Back
腰部 - yāobù;Waist
腿 - tuǐ;Leg
脚 - jiǎo;Foot
心脏 - xīnzàng;Heart
肺 - fèi;Lungs
肝脏 - gānzàng;Liver
肾脏 - shènzàng;Kidneys
脑 - nǎo;Brain
胃 - wèi;Stomach
胰腺 - yíxiàn;Pancreas
小肠 - xiǎocháng;Small intestine
大肠 - dàcháng;Large intestine
膀胱 - pángguāng;Bladder
胆囊 - dǎnnáng;Gallbladder
脾脏 - pízàng;Spleen
甲状腺 - jiǎzhuàngxiàn;Thyroid gland
骨髓 - gǔsuǐ;Bone marrow
淋巴结 - línbājié;Lymph nodes
山脉 - Shānmài;Mountain Range
河流 - Héliú;River
海洋 - Hǎiyáng;Ocean
平原 - Píngyuán;Plain
沙漠 - Shāmò;Desert
湖泊 - Húpō;Lake
森林 - Sēnlín;Forest
岛屿 - Dǎoyǔ;Islands
丘陵 - Qiūlíng;Hills
草原 - Cǎoyuán;Grassland
剑 - Jiàn;Sword
弓箭 - Gōngjiàn;Bow and Arrow
枪 - Qiāng;Firearm
匕首 - Bǐshǒu;Dagger
长矛 - Chángmáo;Spear
战斧 - Zhàn fǔ;Battle Axe
手枪 - Shǒuqiāng;Handgun
冲锋枪 - Chōngfēngqiāng;Submachine Gun
弩 - Nǔ;Crossbow
投石器 - Tóushíqì;Catapult
